Quarter,Topic,Difficulty,Question,Choice_A,Choice_B,Choice_C,Choice_D,Correct,Explanation
4,ElectricityMagnetism,Hard,Which two scientists were famously involved in the "War of Currents" regarding AC vs DC power?,Newton and Leibniz,Faraday and Ampère,Tesla and Edison,Maxwell and Hertz,C,The conflict centered on whether Alternating Current (Tesla) or Direct Current (Edison) should be used for the national power grid.
4,ElectricityMagnetism,Easy,What unit of electrical resistance is named after the physicist who discovered the relationship between voltage current and resistance?,Volt,Ampere,Ohm,Watt,C,Georg Simon Ohm discovered Ohm's Law which states that current is proportional to voltage and inversely proportional to resistance.
4,ElectricityMagnetism,Medium,Who developed the first telegraph system that used an electromagnet to send messages over wires?,Samuel Morse,Alexander Graham Bell,James Watt,Charles Babbage,A,Morse and his associates developed the code and the device that used pulses of electricity to communicate over long distances.
4,ElectricityMagnetism,Hard,What did J.J. Thomson discover in 1897 that proved electricity was made of subatomic particles?,The proton,The neutron,The electron,The photon,C,Thomson’s experiments with cathode rays identified the electron as the carrier of electric charge.
4,ElectricityMagnetism,Medium,Which scientist showed that a magnetic field could rotate the plane of polarized light?,James Clerk Maxwell,Michael Faraday,Isaac Newton,Albert Einstein,B,Known as the Faraday Effect this was the first evidence that light and electromagnetism were related.
4,ElectricityMagnetism,Easy,Which inventor is primarily associated with the development of the Alternating Current (AC) induction motor?,Thomas Edison,Nikola Tesla,Benjamin Franklin,Alessandro Volta,B,Tesla’s work on AC systems revolutionized the way electricity is generated and distributed today.
4,ElectricityMagnetism,Hard,In the early 1800s who discovered the electrochemical process of electrolysis?,Humphry Davy,Isaac Newton,Robert Boyle,Charles Darwin,A,Davy used large voltaic piles to separate elements from compounds like sodium and potassium through electricity.
4,ElectricityMagnetism,Medium,Who is responsible for the law that states the force between two charges is proportional to the product of the charges and inversely proportional to the square of the distance?,Ohm,Coulomb,Volt,Ampere,B,Charles-Augustin de Coulomb formulated the law of electrostatics in 1785.
4,ElectricityMagnetism,Easy,Which Greek philosopher is often credited with first observing that amber rubbed with fur attracts feathers?,Aristotle,Socrates,Thales of Miletus,Plato,C,Thales observed static electricity around 600 BCE although he did not understand the science behind it yet.
4,ElectricityMagnetism,Hard,Who built the first "electrostatic generator" which used a rotating sulfur ball to produce sparks?,Otto von Guericke,Benjamin Franklin,Michael Faraday,Alessandro Volta,A,In 1660 von Guericke created a machine that generated static electricity through friction.
4,ElectricCharge,Easy,What is the fundamental property of matter that causes it to experience a force when placed in an electromagnetic field?,Mass,Electric Charge,Volume,Density,B,Electric charge is the physical property responsible for electrical phenomena and exists in two types: positive and negative.
4,ElectricCharge,Medium,According to the Law of Conservation of Charge what happens to the total charge in an isolated system during a charging process?,It increases,It decreases,It remains constant,It doubles,C,Charge is not created or destroyed; it is only transferred from one object to another ensuring the net charge stays the same.
4,ElectricCharge,Hard,Which subatomic particle is the primary carrier of negative electric charge in a solid conductor?,Proton,Neutron,Electron,Positron,C,In solids such as metals protons are bound in the nucleus while electrons are free to move and carry charge.
4,ElectricCharge,Medium,What is the SI unit used to measure electric charge?,Joule,Volt,Coulomb,Ampere,C,The Coulomb is the standard unit of charge defined as the amount of charge transported by a current of one ampere in one second.
4,ElectricCharge,Easy,What will happen if two objects with the same type of charge are brought close to each other?,They will attract,They will repel,Nothing will happen,They will explode,B,The fundamental rule of electrostatics is that like charges repel each other while opposite charges attract.
4,ElectricCharge,Hard,In the process of charging by induction how is the charge of the second object related to the charging object?,It is the same charge,It is the opposite charge,It remains neutral,It becomes twice as strong,B,Induction causes a redistribution of charges where the near side of the neutral object takes on the opposite charge of the charging tool.
4,ElectricCharge,Medium,Which charging method involves the direct physical contact between a charged object and a neutral object?,Induction,Conduction,Polarization,Radiation,B,Charging by conduction (or contact) allows electrons to flow directly from the charged object to the neutral one.
4,ElectricCharge,Hard,What occurs during 'Polarization' in an insulator?,Electrons flow into the ground,The entire object becomes positively charged,The charges within the individual atoms shift slightly creating a charge separation,The object melts,C,In insulators electrons cannot move freely but they can shift within the atom to create a positive and negative side.
4,ElectricCharge,Easy,What is the name for a material that does not allow electric charges to flow through it easily?,Conductor,Insulator,Semiconductor,Superconductor,B,Insulators have tightly bound electrons that prevent the free flow of electricity.
4,ElectricCharge,Medium,When you rub a balloon against your hair and it sticks to a wall which method of charging initially created the charge on the balloon?,Induction,Conduction,Friction,Polarization,C,Rubbing two different materials together causes electrons to be "scraped" from one to the other through friction.
4,ElectricCharge,Hard,Why does a neutral object become attracted to a charged object even if it hasn't been touched?,The neutral object becomes a magnet,The charged object induces a local opposite charge on the surface of the neutral object,Gravity pulls them together,The neutral object creates its own electrons,B,This is due to polarization or induction where the electric field of the charged object shifts charges in the neutral object to create an attractive force.
4,ElectricCharge,Easy,What is the term for the process of removing excess charge from an object by connecting it to the Earth?,Charging,Grounding,Switching,Insulating,B,The Earth is a massive reservoir that can accept or supply electrons to neutralize a charged object.
4,ElectricCharge,Medium,An object has 5 protons and 7 electrons. What is its net charge?,Neutral,Positive,Negative,Zero,C,Since there are more electrons (negative) than protons (positive) the overall object carries a net negative charge.
4,ElectricCharge,Hard,Which of the following would be the best conductor of electricity?,Rubber,Glass,Copper,Plastic,C,Metals like copper have "sea of electrons" that are free to move making them excellent at conducting charge.
4,ElectricCharge,Medium,What is a 'Point Charge' in physics?,A charge that has no magnitude,An idealized model where the charge is concentrated at a single mathematical point,A charge that only exists in circles,A battery terminal,B,Point charges are used in calculations to simplify the math of electric fields when the size of the object is negligible.
4,ElectricCharge,Easy,In a neutral atom the number of protons is always equal to what?,The number of neutrons,The number of electrons,The total mass,The atomic number only,B,Balance between positive protons and negative electrons results in a zero net charge for the atom.
4,ElectricCharge,Hard,What happens to the force between two charges if the distance between them is doubled?,The force doubles,The force stays the same,The force is reduced to one-fourth,The force is reduced to half,C,According to Coulomb's Law the electric force is inversely proportional to the square of the distance.
4,ElectricCharge,Medium,Which device is commonly used in laboratories to detect the presence of an electric charge?,Voltmeter,Ammeter,Electroscope,Thermometer,C,An electroscope uses thin metal leaves that repel each other when a charge is introduced.
4,ElectricCharge,Hard,If a glass rod is rubbed with silk and the rod becomes positively charged what happened to the silk?,The silk stayed neutral,The silk gained protons,The silk gained electrons and became negatively charged,The silk lost all its charge,C,In friction-based charging one material loses electrons (becoming positive) while the other must gain those same electrons (becoming negative).
4,ElectricCharge,Easy,True or False: A neutral object is an object that contains no electric charges at all?,True,False,,,B,Neutral objects still contain massive amounts of positive and negative charges; they just have an equal number of both.
4,CoulombsLaw,Easy,What is the mathematical relationship between the electric force and the distance between two point charges?,Directly proportional,Inversely proportional to the square of the distance,Directly proportional to the square of the distance,Inversely proportional,B,Coulomb's Law states that force decreases by the square of the distance as charges move further apart.
4,CoulombsLaw,Medium,What happens to the electric force between two charges if the magnitude of one charge is doubled?,The force is halved,The force stays the same,The force is doubled,The force is quadrupled,C,Since force is directly proportional to the product of the charges doubling one charge doubles the resulting force.
4,CoulombsLaw,Hard,What is the value of the electrostatic constant (k) in a vacuum?,9.0 x 10^9 N·m²/C²,1.6 x 10^-19 N·m²/C²,6.67 x 10^-11 N·m²/C²,8.85 x 10^-12 N·m²/C²,A,The proportionality constant k (Coulomb's constant) is approximately 8.99 x 10^9 N·m²/C².
4,CoulombsLaw,Medium,If two identical charges are separated by a distance and the distance is tripled by what factor does the force change?,1/3,1/6,1/9,3,C,The inverse square law (1/r²) means that tripling the distance (3²) reduces the force to 1/9 of its original value.
4,CoulombsLaw,Hard,A positive charge and a negative charge are placed near each other. What is the direction of the electric force on the positive charge?,Away from the negative charge,Toward the negative charge,Circular around the negative charge,Zero,B,Opposite charges attract each other so the force vector points toward the other charge.
4,CoulombsLaw,Easy,In the formula F = k(q1q2)/r² what does the 'r' represent?,The radius of the larger charge,The resistance of the wire,The distance between the centers of the two charges,The rate of charge flow,C,The variable r represents the separation distance between the two point charges.
4,CoulombsLaw,Medium,If both charges q1 and q2 are doubled while the distance remains constant what happens to the force?,It doubles,It triples,It quadruples,It stays the same,C,Because both charges are doubled (2 x 2), the product of the charges and the resulting force increase by a factor of four.
4,CoulombsLaw,Hard,What is the net force on a central charge if it is placed exactly midway between two identical positive charges?,Twice the force of one charge,Half the force of one charge,Zero,Infinite,C,The repulsive forces from both sides are equal in magnitude but opposite in direction causing them to cancel out.
4,CoulombsLaw,Easy,Which fundamental force is Coulomb's Law most mathematically similar to?,Magnetic force,Gravitational force,Frictional force,Strong nuclear force,B,Both Coulomb's Law and Newton's Law of Universal Gravitation follow an inverse square relationship with distance.
4,CoulombsLaw,Medium,If the force between two charges is 100 N and the distance is doubled what is the new force?,50 N,25 N,10 N,200 N,B,Doubling the distance reduces the force to 1/4 of the original (100 / 4 = 25).
4,CoulombsLaw,Hard,What is the magnitude of the elementary charge (e) of a single electron or proton?,9.11 x 10^-31 C,1.60 x 10^-19 C,6.02 x 10^23 C,1.00 x 10^-6 C,B,Every electron carries a charge of -1.6 x 10^-19 C and every proton carries +1.6 x 10^-19 C.
4,CoulombsLaw,Medium,What unit must the distance (r) be in to correctly use the electrostatic constant k = 9.0 x 10^9?,Centimeters,Millimeters,Meters,Inches,C,To match the units of the constant (N·m²/C²) the distance must be converted to meters.
4,CoulombsLaw,Hard,Two charges q1 = +2μC and q2 = -4μC are 0.5m apart. Is the force between them attractive or repulsive?,Repulsive,Attractive,Neutral,Inductive,B,Because the charges have opposite signs (positive and negative) the force is attractive.
4,CoulombsLaw,Easy,If the calculated force F is a negative value in some textbooks what does that usually indicate?,The force is very weak,The force is repulsive,The force is attractive,The calculation is wrong,C,A negative product of charges (+ x -) results in a negative force value indicating attraction.
4,CoulombsLaw,Medium,How many micro-Coulombs (μC) are in 1 Coulomb?,100,1,000,1,000,000,10,C,One micro-Coulomb is 1 x 10^-6 Coulombs meaning there are one million in a single Coulomb.
4,CoulombsLaw,Hard,If the distance between two charges is reduced to half (1/2) what happens to the force?,It is halved,It is doubled,It is quadrupled,It stays the same,C,Reducing distance by 1/2 results in a force increase of 1 / (1/2)² which is 4 times the original force.
4,CoulombsLaw,Medium,What is the direction of the force between two negative charges?,Toward each other,Away from each other,Upward,Zero,B,Like charges (negative and negative) repel each other.
4,CoulombsLaw,Hard,If the force between two charges is 10 N and one charge is tripled while the other is doubled what is the new force?,50 N,60 N,15 N,30 N,B,The force is multiplied by the product of the changes (3 x 2 = 6) so 10 x 6 = 60 N.
4,CoulombsLaw,Easy,Coulomb's Law is only strictly accurate for which type of charges?,Large metal plates,Point charges,Moving magnets,Clouds,B,Coulomb's Law is designed for point charges where the size of the objects is small compared to the distance between them.
4,CoulombsLaw,Hard,Calculate the force between two 1.0 C charges separated by 1.0 m in a vacuum.,1.0 N,9.0 x 10^9 N,1.6 x 10^-19 N,9.0 N,B,Plugging into the formula: F = (9 x 10^9)(1)(1) / (1)² = 9 x 10^9 N.
4,VoltageCurrentResistance,Easy,What is the flow of electric charge through a conductor called?,Voltage,Resistance,Current,Power,C,Electric current is defined as the rate at which charge flows past a point in a circuit.
4,VoltageCurrentResistance,Medium,Which unit is used to measure the electrical potential difference between two points?,Ampere,Ohm,Volt,Watt,C,Voltage or potential difference is the "pressure" that pushes electric charges through a circuit.
4,VoltageCurrentResistance,Hard,If the resistance in a circuit is doubled while the voltage remains constant what happens to the current?,It doubles,It stays the same,It is cut in half,It quadruples,C,According to Ohm's Law (I = V/R) current is inversely proportional to resistance.
4,VoltageCurrentResistance,Medium,What is the name of the property that opposes the flow of electric current?,Conductance,Voltage,Resistance,Inductance,C,Resistance is a measure of how much a material hinders the movement of electrons.
4,VoltageCurrentResistance,Easy,What is the SI unit for electrical resistance?,Volt,Ampere,Ohm,Coulomb,C,The Ohm (Ω) is the standard unit of resistance named after Georg Simon Ohm.
4,VoltageCurrentResistance,Hard,In a series circuit what happens to the total resistance as more resistors are added?,It decreases,It stays the same,It increases,It becomes zero,C,In series the total resistance is the sum of all individual resistances so adding more increases the total.
4,VoltageCurrentResistance,Medium,Which device is used to measure the current flowing through a circuit?,Voltmeter,Ammeter,Ohmmeter,Barometer,B,An ammeter is connected in series within a circuit to measure the flow of charge in Amperes.
4,VoltageCurrentResistance,Hard,What happens to the brightness of light bulbs in a parallel circuit if one bulb burns out?,All bulbs go out,The other bulbs stay lit with the same brightness,The other bulbs get dimmer,The other bulbs explode,B,In a parallel circuit each branch has its own separate path to the voltage source.
4,VoltageCurrentResistance,Easy,Which type of material has very low resistance and allows current to flow easily?,Insulator,Conductor,Semiconductor,Resistor,B,Metals like copper and silver are excellent conductors because they have many free electrons.
4,VoltageCurrentResistance,Medium,According to Ohm’s Law what formula is used to calculate Voltage?,V = I / R,V = I x R,V = R / I,V = I + R,B,The relationship is defined as Voltage equals Current multiplied by Resistance.
4,VoltageCurrentResistance,Hard,How does increasing the temperature of a typical metal wire affect its electrical resistance?,It decreases the resistance,It has no effect,It increases the resistance,It makes the wire a superconductor,C,Higher temperatures cause atoms to vibrate more which interferes with the flow of electrons increasing resistance.
4,VoltageCurrentResistance,Easy,What provides the energy to move charges in an electric circuit?,A resistor,A switch,A voltage source (like a battery),An ammeter,C,A battery or power supply creates the potential difference necessary for current to flow.
4,VoltageCurrentResistance,Medium,What is the conventional direction of electric current flow?,From negative to positive,From positive to negative,It depends on the wire,It always flows toward the ground,B,By convention current is described as flowing from the positive terminal to the negative terminal.
4,VoltageCurrentResistance,Hard,A circuit has a voltage of 12V and a resistance of 4Ω. What is the current?,48A,3A,16A,8A,B,Using Ohm's Law (I = V/R) 12 divided by 4 equals 3 Amperes.
4,VoltageCurrentResistance,Medium,What is a "short circuit"?,A circuit with a very long wire,A circuit where the path has almost zero resistance causing a massive current flow,A circuit that is turned off,A circuit with too many batteries,B,Short circuits occur when current takes an unintended path of low resistance which can be dangerous.
4,VoltageCurrentResistance,Easy,Which unit is used to measure the rate of flow of electric charge?,Volt,Ohm,Ampere,Joule,C,One Ampere is equal to the flow of one Coulomb of charge per second.
4,VoltageCurrentResistance,Hard,If you have three 10Ω resistors connected in parallel what is the total equivalent resistance?,30Ω,10Ω,3.33Ω,0.3Ω,C,For identical resistors in parallel the total resistance is the value of one resistor divided by the number of resistors (10/3).
4,VoltageCurrentResistance,Medium,Why is a bird able to stand on a high-voltage power line without getting shocked?,The bird is a good insulator,There is no potential difference between the bird's two feet on the same wire,The wire is not actually carrying electricity,Birds have high resistance,B,Electricity flows when there is a difference in potential; since both feet are at the same potential no current flows through the bird.
4,VoltageCurrentResistance,Easy,What component is used to open or close an electric circuit?,Battery,Resistor,Switch,Load,C,A switch controls the continuity of the circuit allowing or preventing the flow of current.
4,VoltageCurrentResistance,Hard,Which factor does NOT affect the resistance of a wire?,The material it is made of,The length of the wire,The thickness (cross-sectional area) of the wire,The color of the wire's insulation,D,Resistance depends on resistivity, length, and area but the color of the outer plastic coating does not change the conductivity.
